Neighbourhood,2006_avg_age,2011_avg_age,2016_avg_age,2006_avg_value,2011_avg_value,2016_avg_value,pop_diff_2006_2011,pop_diff_2006_2016
Cook St. Area,45.53816400206292,45.63257965056526,45.7,394610.0,494429.0,541415.0,35.0,55.0
Fort St. Area,40.38395061728395,40.89854247324072,41.34027777777778,487024.0,592265.0,711081.0,-320.0,45.0
James Bay Area,47.756660746003554,48.37304774654172,49.02534459759893,414939.0,501477.0,586166.0,-55.0,-15.0
Remainder of City,40.07400229687051,40.83328844600054,40.184622407721406,355688.0,461611.0,484194.0,2300.0,3505.0
Saanich/Central Saanich,41.029472349865316,42.01710018328588,42.2901154345998,507292.0,606937.0,670130.0,1995.0,4590.0
Esquimalt,40.327345605700714,41.81724244293646,42.4231905465288,385806.0,473389.0,522537.0,-630.0,85.0
Langford/Vw Royal/Colwood/Sooke,38.19949679113186,39.02432194323831,40.00519384685247,421015.0,507853.0,511704.0,10895.0,19525.0
Oak Bay,45.207984366275824,46.71010269220094,46.60743919885551,722058.0,891407.0,1074011.0,105.0,-435.0
North Saanich,45.19504021447721,46.87207285342585,48.818553594489885,688377.0,792960.0,882630.0,340.0,425.0
Sidney,49.2923110914715,50.47696779964222,51.03616352201258,422628.0,482012.0,501444.0,-135.0,-185.0
Victoria,41.275614226423095,42.1085123978933,42.45028516313008,481917.0,578869.0,629493.0,14525.0,27600.0
